"symbol";"date";"open";"high";"low";"close";"volume";"adjusted"
"AALR3.SA";2021-10-25;15,59;15,77;14,25;15,18;2228500;15,18
"AALR3.SA";2021-10-26;15,06;15,26;14,7;15,26;1258800;15,26
"AALR3.SA";2021-10-27;15,21;15,42;14,95;15,02;1000200;15,02
"AALR3.SA";2021-10-28;14,71;15,13;14,63;14,9;1223700;14,9
"ABCB4.SA";2021-10-25;15,94;16,18;15,72;16,059999;807700;16,059999
"ABCB4.SA";2021-10-26;15,97;16,129999;15,83;15,86;462300;15,86
"ABCB4.SA";2021-10-27;15,92;16,34;15,86;15,91;441800;15,91
"ABCB4.SA";2021-10-28;15,86;15,99;14,87;15;1243000;15
"ABEV3.SA";2021-10-25;15,01;15,44;15;15,27;19933100;15,27
"ABEV3.SA";2021-10-26;15,15;15,32;15,05;15,16;20648000;15,16
"ABEV3.SA";2021-10-27;15,31;15,71;15,22;15,22;26056100;15,22
"ABEV3.SA";2021-10-28;16,41;16,870001;16,17;16,700001;91395500;16,700001
"AERI3.SA";2021-10-25;7,74;8,17;7,74;8,04;1326300;8,04
"AERI3.SA";2021-10-26;7,99;8,04;7,67;7,8;1611500;7,8
"AERI3.SA";2021-10-27;7,83;7,99;7,61;7,67;1100700;7,67
"AERI3.SA";2021-10-28;7,64;8,04;7,55;7,85;1730600;7,85
"AESB3.SA";2021-10-25;11,48;11,85;11,43;11,68;938700;11,68
"AESB3.SA";2021-10-26;11,75;11,79;11,18;11,2;1586800;11,2
"AESB3.SA";2021-10-27;11,25;11,54;11,23;11,38;1435500;11,38
"AESB3.SA";2021-10-28;11,38;11,46;11,03;11,12;2132000;11,12
"AFLT3.SA";2021-10-25;8,65;8,65;8,65;8,65;100;8,65
"AFLT3.SA";2021-10-26;8,67;8,67;8,66;8,66;600;8,66
"AFLT3.SA";2021-10-27;8,65;8,65;8,65;8,65;1200;8,65
"AFLT3.SA";2021-10-28;8,65;8,65;8,65;8,65;200;8,65
"AGRO3.SA";2021-10-25;29,959999;30,68;29,85;30,549999;830700;27,777246
"AGRO3.SA";2021-10-26;30,52;30,58;29,34;29,370001;766400;26,704346
"AGRO3.SA";2021-10-27;30,09;30,1;28,75;28,879999;1073000;26,258818
"AGRO3.SA";2021-10-28;26,129999;26,379999;25,52;25,799999;992800;25,799999
"AGXY3.SA";2021-10-25;7,69;8,08;7,69;7,72;8000;7,72
"AGXY3.SA";2021-10-26;7,53;7,65;7,52;7,6;1800;7,6
"AGXY3.SA";2021-10-27;7,65;7,67;7,4;7,4;6200;7,4
"AGXY3.SA";2021-10-28;7,21;7,29;7;7;7900;7
