"DataRef";"Vencimento";"DU";"Taxa"
"2021-10-29";2021-11-01;1;7,65
"2021-10-29";2021-11-01;1;7,65
"2021-10-29";2021-12-01;21;7,672
"2021-10-29";2022-01-03;44;8,364
"2021-10-29";2022-02-01;65;8,74
"2021-10-29";2022-03-02;84;9,345
"2021-10-29";2022-04-01;106;10,03
"2021-10-29";2022-05-02;125;10,356
"2021-10-29";2022-06-01;147;10,88
"2021-10-29";2022-07-01;168;11,21
"2021-10-29";2022-08-01;189;11,476
"2021-10-29";2022-09-01;212;11,67
"2021-10-29";2022-10-03;233;11,84
"2021-10-29";2022-11-01;253;11,945
"2021-10-29";2022-12-01;273;12,039
"2021-10-29";2023-01-02;295;12,13
"2021-10-29";2023-04-03;358;12,215
"2021-10-29";2023-07-03;419;12,31
"2021-10-29";2023-10-02;483;12,31
"2021-10-29";2024-01-02;544;12,23
"2021-10-29";2024-04-01;605;12,23
"2021-10-29";2024-07-01;668;12,22
"2021-10-29";2024-10-01;734;12,155
"2021-10-29";2025-01-02;798;12,2
"2021-10-29";2025-04-01;859;12,135
"2021-10-29";2025-07-01;920;12,1
"2021-10-29";2025-10-01;986;12,156
"2021-10-29";2026-01-02;1051;12,18
"2021-10-29";2026-04-01;1112;12,224
"2021-10-29";2026-07-01;1173;12,189
"2021-10-29";2026-10-01;1238;12,241
"2021-10-29";2027-01-04;1301;12,26
"2021-10-29";2028-01-03;1552;12,365
"2021-10-29";2029-01-02;1801;12,27
"2021-10-29";2030-01-02;2051;12,355
"2021-10-29";2031-01-02;2304;12,32
"2021-10-29";2033-01-03;2809;12,31
"2021-10-29";2035-01-02;3309;12,295
"2021-10-29";2036-01-02;3559;12,295
"2021-10-29";2037-01-02;3813;12,373
